ID,團名,團位,旅遊天數
AUSS7CI-C,【含小費】雪梨歡樂新玩家七天∼送雪梨塔自助餐+夜遊∼,22,7
BKKBF,【悠活華欣】∼六人成行，無購物，五星酒店，含導遊小費∼古式按摩、小希臘村、咬錢虎廟５日,6,5
AUSM8-1,【送漫遊wifi】雪梨墨爾本雙城八日(含小費雙夜遊)-MS,22,8
JLPK7-2017D,JL日本假期∼東北絶景紅葉100選 奧入瀨溪流 藏王七日遊,30,7
PPSA5PR,菲航直飛菲常渴望巴拉望新尊爵五日遊(兩晚渡假村)(2人成行)PR,20,5
AUSM8,【送漫遊wifi】雪梨墨爾本雙城八日(含小費雙夜遊)-SM,22,8
HANF5-2018,尊爵風情~五星北越長安雙龍灣摩天輪五日(不走購物站),18,5
DPSLB-2017,【蜜月最愛】悠然巴里島~愛在穆利雅+水世界五日(SPA+無敵海景下午茶+特色美食)-mini tour,2,5
AUSS6-2,雪梨歡樂超值六天四夜(晚去午回含稅簽),22,6
AUSS6-1,雪梨歡樂超值六天五夜(早去午回含稅簽),17,6
KS205,【馬新旺福】馬新雙國吉隆坡高塔自助餐馬六甲5D立體藝術館金沙娛樂城超值五日遊(新加坡一晚),18,5
HANP5-2018,奢華雅儷北越雙龍灣天堂雅儷號海上Villa五日-五星飯店/不走購物站,18,5
KMGM8-KMG,【東方假期】昆明《中甸．香格里拉》麗江古城．大理．雙飛8日,17,8
USU055J,菲趣科隆島CORON擁抱山海石林秘境五日遊(2人成行),6,5
CNXAB-BR,《泰北清邁好時光》森林百萬渡假村激流泛舟叢林探險大象便便紙DIY夜間動物園五日遊(含稅簽/無購物/白天無自費/長榮),20,5
HAND5-2017,北越雙龍+移動VILLA+太陽世界新樂園 五日-5+4星版/不走購物站,18,5
DPSFV-2016,夢幻巴里島五日(住宿藍夢島上+雙spa+雙下午茶),2,5
BKIA5MH,【線上旅展】馬來西亞沙巴長鼻猴螢河遊泛舟海洋國家公園五日(4+5星)(6人成行),16,5
HANB5,豪華北越雙龍傳奇五日〈陸龍灣+下龍灣/含按摩、電瓶車、五星飯店下午茶〉_4+5星版,18,5
SHEG8,《中國世家》東北秋天童話∼長白山萬達度假村8日,17,8
SINA4-CI,【米其林一星】食尚樂活新加坡環球影城S.E.A.海洋館濱海灣花園世界最高摩天輪四日【小孩不佔-5000】(4人成行),18,4
SIND4,【線上旅展】就去新加坡玩吧自由輕鬆走四日遊【送環球影城門票＋園區餐券】(二人成行),6,4
JFFF5-110117,就要玩九州∼尋找酷萌熊、浪漫湯布院、體驗雙電車、螃蟹溫泉五日,26,5
TXNA8-MF,【升等2晚喜來登、山上住2晚】醉美黃山千島湖宏村湖邊古村落八天(無購物、贈徽韻秀),17,8
AUMA9,大圓滿東澳全覽好味廚師帽9天(含小費),22,9
XIYA8,探索千年古都西安、世界奇蹟兵馬俑、夢迴大唐歌舞秀八日(五星悅椿溫泉酒店、無購物、無自費),20,8
DADA5,【170促銷團】悠遊四星超值峴港五日-促銷團,40,5
PPSD5PR,菲航直飛菲常渴望巴拉望一島一飯店超級玩家五日遊(2人成行),20,5
