ID,出發日期,價格
AUSS7CI-C,12-10,44800
BKKBF,09-28,31500
AUSM8-1,10-26,55800
JLPK7-2017D,10-28,72800
PPSA5PR,01-11,30900
AUSM8,11-04,54800
AUSM8,12-30,64800
HANF5-2018,10-16,25000
DPSLB-2017,09-13,40500
AUSS6-2,09-13,35800
AUSS6-1,12-04,37800
HANF5-2018,09-07,25000
AUSS6-2,09-27,36800
KS205,09-02,20588
AUSS6-1,12-13,39800
DPSLB-2017,09-11,39900
HANP5-2018,10-05,34000
BKKBF,09-11,30000
AUSS6-1,10-19,35800
JLPK7-2017D,10-22,72800
AUSM8-1,09-23,55800
KMGM8-KMG,11-29,46900
AUSS6-2,10-11,35800
KMGM8-KMG,11-08,46900
AUSM8,12-18,59800
USU055J,10-13,27900
JLPK7-2017D,10-19,68800
AUSS7CI-C,11-21,40800
AUSS6-1,09-07,35800
BKKBF,09-22,34500
HANF5-2018,10-09,25000
HANP5-2018,09-07,34000
CNXAB-BR,08-31,31000
AUSS7CI-C,12-17,46800
AUSS7CI-C,12-08,44800
HANP5-2018,09-25,34000
HANP5-2018,10-23,34000
KMGM8-KMG,09-20,49900
AUSM8,10-25,55800
BKKBF,09-30,30000
USU055J,10-06,29900
AUSS6-2,10-02,35800
USU055J,09-29,27900
KMGM8-KMG,11-22,46900
HANF5-2018,10-05,25000
PPSA5PR,11-30,30900
USU055J,09-15,27900
CNXAB-BR,09-23,29800
CNXAB-BR,10-02,30300
PPSA5PR,01-04,30900
HANF5-2018,09-25,25000
AUSM8-1,10-07,57800
CNXAB-BR,09-20,32300
DPSLB-2017,10-01,39900
KMGM8-KMG,10-02,49900
BKKBF,09-25,30500
AUSM8,11-27,56800
CNXAB-BR,08-30,31300
AUSS6-2,10-04,35800
PPSA5PR,12-14,30900
PPSA5PR,02-15,30900
AUSS6-1,09-14,35800
JLPK7-2017D,10-30,68800
DPSLB-2017,09-27,40500
DPSLB-2017,10-15,39900
USU055J,09-08,27900
HAND5-2017,09-21,30800
DPSFV-2016,10-15,33300
BKIA5MH,10-02,24500
HANB5,09-18,24000
SHEG8,09-10,42900
HANB5,09-25,24000
SINA4-CI,09-13,26300
SHEG8,09-24,42900
SIND4,09-04,16000
SHEG8,09-03,42900
DPSFV-2016,09-24,33300
DPSFV-2016,09-29,33800
JFFF5-110117,10-26,30800
BKIA5MH,10-27,25500
TXNA8-MF,09-08,29900
JFFF5-110117,11-23,35800
HAND5-2017,09-04,27800
KS205,09-02,20588
AUMA9,09-08,66800
SIND4,09-10,16000
XIYA8,10-17,30900
DADA5,09-24,17000
SIND4,09-07,16500
PPSD5PR,02-22,26500
HAND5-2017,09-18,27800
SINA4-CI,09-07,26300
BKIA5MH,09-18,24500
TXNA8-MF,10-27,29900
TXNG6-1,10-14,32900
SINA4-CI,09-02,25800
XIYA8,11-21,23900
XIYA8,11-07,23900
SINI4-CI,09-04,20500
HANB5,09-04,24000
HAND5-2017,09-11,27800
TXNG6-1,10-28,31900
BKIA5MH,09-30,24500
XIYA8,09-05,30900
SIND4,09-02,16000
AUMA9,09-05,66800
PPSD5PR,01-11,26500
PPSD5PR,02-15,26500
SINI4-CI,09-02,20500
TXNG6-1,09-02,32900
XIYA8,10-31,30900
TXNG6-1,10-21,31900
SINA4-CI,09-10,25800
SINI4-CI,09-13,21000
TXNA8-MF,10-13,29900
SHEG8,10-01,38900
SINA4-CI,09-04,25800
SINI4-CI,09-07,21000
DPSFV-2016,09-13,33800
TXNG6-1,09-09,32900
AUMA9,09-01,66800
SINI4-CI,09-10,20500
SHEG8,09-17,43900
PPSD5PR,12-14,26500
SIND4,09-13,16500
DPSFV-2016,10-18,33800
HAND5-2017,09-25,27800
AUMA9,09-15,66800
AUMA9,09-22,66800
HANB5,09-11,24000
PPSD5PR,01-04,26500
BKIA5MH,09-07,25500
JFFF5-110117,12-20,35800
HANB5,09-07,24000
SELA5-ABC11,10-31,14500
DPSA5,10-20,36000
XIYC8,11-07,28900
SK505,09-07,22800
JLPK7-201706,09-04,60900
JLPK7-201706,09-11,62900
DPSPA-2016,10-21,23800
JLPK7-2017C,08-30,75300
JSPK5-201809,09-03,32800
JTAK5-PAK,09-02,35900
JLPK7-201706,09-25,61900
XIYC8,11-21,28900
DPSBF-2018,11-07,29000
KS205,08-30,24388
PEKC5-CI3,12-23,22900
SELA5-ABC10,09-27,15000
DPSPA-2016,10-15,23800
JTAK5-PAK,09-09,35900
PEKC5-CI3,11-11,26900
JTAK5-PAK,10-14,36900
KS205,09-02,20588
SELA5-ABC11,10-05,14500
SELA5-ABC10,10-01,14500
SK505,09-10,21800
DPSA5,10-18,36000
PEKC5-CI3,11-25,24900
DPSA5,10-01,35500
KULS5-CI,09-04,23000
SK505,09-13,22800
KS205,09-09,20588
DPSBF-2018,09-13,29500
KULS5-CI,09-09,23000
JTAK5-PAK,09-30,35900
SELA5-ABC10,09-30,14500
DPSBF-2018,09-10,29000
XIYC8,09-05,33900
KS205,09-04,20588
DPSPA-2016,10-01,23800
SELA5-ABC11,10-19,14500
DPSBF-2018,10-18,29500
PEKC5-CI3,12-09,22900
XIYC8,10-31,33900
SELA5-ABC10,10-07,14500
SELA5-ABC11,10-03,14500
SK505,09-18,21800
JTAK5-PAK,09-23,36900
JSPK5-201809,08-30,32800
KS205,09-07,21588
SELA5-ABC10,10-04,15000
JLPK7-2017C,09-06,74300
SELA5-AH6,09-14,20900
SELA5-AH6,10-05,21500
JLPK7-201706,09-18,63900
DPSBF-2018,10-15,29000
DPSPA-2016,10-18,24300
SELA5-AH6,09-07,20900
SELA5-AH6,10-19,21500
SELA5-AH6,10-03,21500
KULS5-CI,09-02,23000
SELA5-ABC11,10-24,14500
DPSA5,10-15,35500
JLPK7-2017C,09-13,74300
DPSA5,09-13,36000
XIYC8,10-03,29900
SK505,09-04,21800
DPSPA-2016,10-25,24300
JLPK7-201706,09-20,63900
JSPK5-201809,09-27,35800
KULS5-CI,08-30,27300
KULS5-CI,09-07,24000
CEBC5BR,10-23,25500
JTAK6-PAK,08-31,42900
SK605,09-13,26000
PENI5,09-26,25800
SK605,09-10,25500
SK605,09-16,25500
CEBC5PR,09-06,25500
PENI5,09-08,25800
TSNA5,09-21,21900
CEBC5BR,10-05,26000
PENI5,08-31,25800
CEBC5BR,10-09,25500
SELA5-ABC51,09-07,12000
KULN5,09-09,20800
KS205,09-02,20588
JTAK6-PAK,09-17,41500
PENI5,09-18,25300
KULN5,09-13,21800
SELA5-ABC31,09-14,14500
TSNA5,11-16,20900
CNXAA-BR,10-05,24800
PENA5,09-08,29300
JTAK6-PAK,09-07,42900
JTAK6-PAK,09-28,42900
CNXAA-BR,10-02,24300
TSNA5,10-12,21900
DPSPG-2015,09-10,27300
KULN5,09-07,21800
SELA5-ABC31,11-01,14500
SELA5-ABC31,11-02,14500
CEBC5PR,09-13,25500
CNXAA-BR,09-23,23800
TSNA5,10-19,20900
SELA5-ABC31,09-07,14500
SK605,09-04,25500
SK605,09-08,26000
PENA5,09-04,27800
CNXAA-BR,10-07,24300
JTOK5-2018,08-31,29800
