ID,團名,團位,旅遊天數
EW18,就是愛德瑞、鐵力士山、天鵝堡、羅騰堡、OUTLET10天,27,10
EH02,斯洛伐克 匈牙利 多瑙河遊船OUTLET 7天,26,7
AK07,肯亞 我要玩狠大8天,13,8
TXN03,潑墨黃山•傳奇宏村•狀元休甯 5日,17,5
ES39,南歐伊比利半島西班牙、葡萄牙、直布羅陀、畢爾包浪漫美食15天,27,15
ES41,浪漫希臘 奢華米其林 天空之城 兩中段 10天,27,10
ES38,浪漫愛琴海雙島：聖托里尼、米克諾斯、天空之城、諸神的故鄉、希臘10天之旅,17,10
ES42,一起牽手遊 西班牙 昆卡 聖家堂 OUTLET 8天,27,8
EW17,Ciao! 義起玩、五漁村、威尼斯、OUELET11天,21,11
ES33,西班牙 七大城 聖家堂 佛朗明哥晚餐秀10日,26,10
EE47,奧捷雙國、米其林、湖區、古堡、遊船、雙登塔10天(長榮直飛),26,10
AK06,肯亞 野性呼喚10天 非洲王子系列,13,10
EW25,品味法拉利 南北義 龐貝 藍洞 OUTLET 10天,26,10
EN99,榮耀斯堪地那維亞之旅-北歐五國、冰島、峽灣觀景列車經典12日,26,12
EW28,【雙點進出】冬季Ciao起來! 義大利8天,39,8
EE54,超值東歐 奧捷斯匈 湖區、城堡10天,29,10
AK10,摩洛哥 10天 卡薩布蘭、卡四大皇城、撒哈拉沙漠、阿班哈杜,26,10
EW21,Hello! 長榮荷德比法 3遊船 OUTLET 10天,26,10
LHW05,迴響夢駝鈴系列〜河西走廊五彩山、莫高窟、鳴沙山+月牙泉8日,16,8
TYO-2,東京蝦拼半自助漫遊五日,16,5
TXN02,黃山典雅輕鬆行~黃山•宏村•唐模法國鄉村7日,16,7
HAK02,東方夏威夷~陽光沙灘椰林超值海南5日,16,5
CSX05,張家界天門山袁家界鳳凰古城玻璃橋精選8日,17,8
EE32,超值奧捷斯匈東歐四國全覽11天,21,11
EE56,秘境 克斯波 國家公園10天(一中段),26,10
EE59,就是酷! 德捷天下8天,21,8
EE55,搶購 絕美哈斯達特 古堡奧捷8天,32,8
EE41,5星巴爾幹半島 克斯蒙3國 雙跳島、雙國家公園、三遊船12天,26,12
DYG02,美麗新視界~張家界鳳凰古城6天,16,6
HAK01,東方夏威夷~陽光沙灘椰林熱情海南5日,16,5
ICN18KEA,親子水陸雙樂園5日,16,5
ICN18LJ,哈韓94狂～超人氣三大主題5日,16,5
AE16,五星埃及法老王 金字塔 尼羅河遊輪 紅海10天,22,10
URC10,北疆~東方瑞士喀那斯˙禾木˙巴音布魯克12日,16,12
ICN-33,超值熱賣哈韓5日遊,19,5
