ID,團名,出發日期,旅遊天數,價格,總團位,可售位
SELA5OZ8826B,【戲雪趣】愛寶樂園、冰雪王國、單車樂活、童話村、時尚明洞、塗鴉秀５天,2018/08/26,5,11500,18,0
SELA5OZ8826E,【SUPER COOL】∼升等五花飯店∼韓國冰雪樂園、小法國村、香草花園、愛寶、塗鴉秀五日,2018/08/26,5,13500,16,15
XMNA4AE8826A,海上花園廈門、南靖雲水謠、偶遇靈玲大熊貓四日遊(無購物、無自費、五星酒店+自助餐價值198RMB),2018/08/26,4,16900,16,15
SIND4CI8826A,【FUN暑假】就去新加坡玩吧自由輕鬆走四日遊【送環球影城門票＋園區餐券】(二人成行),2018/08/26,4,18000,6,6
KWLB5CZ8826A,【幸福一夏】桂林希爾頓、灕江精華遊印象劉三姐五天(無購物)※特別安排張藝謀印象劉三姐+商務VIP三排座※,2018/08/26,5,18900,16,15
HAKA5HU8826A,亞特蘭蒂斯~東方夏威夷˙陽光沙灘椰林頂級海南5日(無購物、無自費),2018/08/26,5,20900,16,15
SINI4CI8826A,【FUN暑假】星光熠熠新加坡環球影城濱海灣花園金沙娛樂城超值四日(四人成行),2018/08/26,4,22500,6,6
KS205CI8826A,【FUN暑假馬新旺福】馬新雙國吉隆坡高塔自助餐馬六甲5D立體藝術館金沙娛樂城超值五日遊(新加坡一晚),2018/08/26,5,23388,18,17
CNXAABR8826A,《小城故事金三角風情》清邁聖獅公園、放天燈體驗、大象便便紙DIY、泰式指壓、湄登叢林騎象、夜間動物園五日(含稅簽/長榮),2018/08/26,5,24800,20,0
CRUISCR8826A,太陽公主號∼沖繩、石垣島自主遊四天,2018/08/26,4,24900,50,50
DYGA6CZ8826A,張家界、鳳凰古城、天門山 峽谷風情雲天渡六日(VIP三排椅、無購物),2018/08/26,6,25900,16,15
CEBC5BR8826A,菲趣宿霧與鯨共遊薄荷島+資生堂島雙跳島超級玩家五日遊(2人成行)(BR),2018/08/26,5,27500,10,0
SINA4CI8826A,【FUN暑假米其林一星】新加坡環球影城S.E.A.海洋館濱海灣花園世界最高摩天輪四日【小孩不佔-5000】(4人成行),2018/08/26,4,27800,18,17
